Description	
Number of Runs	40
Preset Time	10
Pause Time	0
Alarm Level	0
High Voltage	880
Step Voltage	0
Volume	0

Run	High		Elapsed
Number	Voltage	Counts	Time	Date/Time
1	880	8	10	02/02/17 07:16:17 PM	
2	880	5	10	02/02/17 07:16:27 PM	
3	880	5	10	02/02/17 07:16:37 PM	
4	880	8	10	02/02/17 07:16:47 PM	
5	880	9	10	02/02/17 07:16:58 PM	
6	880	7	10	02/02/17 07:17:08 PM	
7	880	2	10	02/02/17 07:17:18 PM	
8	880	11	10	02/02/17 07:17:28 PM	
9	880	2	10	02/02/17 07:17:38 PM	
10	880	6	10	02/02/17 07:17:48 PM	
11	880	5	10	02/02/17 07:17:59 PM	
12	880	6	10	02/02/17 07:18:09 PM	
13	880	10	10	02/02/17 07:18:19 PM	
14	880	7	10	02/02/17 07:18:29 PM	
15	880	3	10	02/02/17 07:18:40 PM	
16	880	4	10	02/02/17 07:18:50 PM	
17	880	10	10	02/02/17 07:19:00 PM	
18	880	4	10	02/02/17 07:19:10 PM	
19	880	5	10	02/02/17 07:19:20 PM	
20	880	9	10	02/02/17 07:19:31 PM	
21	880	8	10	02/02/17 07:19:41 PM	
22	880	5	10	02/02/17 07:19:51 PM	
23	880	4	10	02/02/17 07:20:01 PM	
24	880	6	10	02/02/17 07:20:12 PM	
25	880	9	10	02/02/17 07:20:22 PM	
26	880	9	10	02/02/17 07:20:32 PM	
27	880	7	10	02/02/17 07:20:42 PM	
28	880	7	10	02/02/17 07:20:53 PM	
29	880	12	10	02/02/17 07:21:03 PM	
30	880	7	10	02/02/17 07:21:13 PM	
31	880	8	10	02/02/17 07:21:23 PM	
32	880	4	10	02/02/17 07:21:33 PM	
33	880	5	10	02/02/17 07:21:43 PM	
34	880	5	10	02/02/17 07:21:54 PM	
35	880	6	10	02/02/17 07:22:04 PM	
36	880	1	10	02/02/17 07:22:14 PM	
37	880	7	10	02/02/17 07:22:24 PM	
38	880	3	10	02/02/17 07:22:34 PM	
39	880	5	10	02/02/17 07:22:45 PM	
40	880	7	10	02/02/17 07:22:55 PM	
