energy,tally,variance
0.0000E+00,0.00000E+00,0.0000
2.5000E-08,9.57044E-18,0.3051
1.0071E-01,5.24935E-09,0.0170
2.0143E-01,5.98790E-09,0.0228
3.0214E-01,6.49031E-09,0.0254
4.0286E-01,6.91985E-09,0.0274
5.0357E-01,7.38210E-09,0.0288
6.0429E-01,7.08083E-09,0.0302
7.0500E-01,7.38982E-09,0.0311
8.0571E-01,7.93724E-09,0.0311
9.0643E-01,8.23656E-09,0.0315
1.0071E+00,8.96468E-09,0.0322
1.1079E+00,7.90373E-09,0.0349
1.2086E+00,7.85471E-09,0.0353
1.3093E+00,8.39722E-09,0.0351
1.4100E+00,7.89326E-09,0.0364
1.5107E+00,8.12844E-09,0.0366
1.6114E+00,7.70509E-09,0.0376
1.7121E+00,8.27027E-09,0.0373
1.8129E+00,8.14709E-09,0.0383
1.9136E+00,7.83968E-09,0.0396
2.0143E+00,7.35662E-09,0.0412
2.1150E+00,7.29626E-09,0.0418
2.2157E+00,7.70834E-09,0.0413
2.3164E+00,7.16290E-09,0.0428
2.4171E+00,7.33802E-09,0.0423
2.5179E+00,7.10678E-09,0.0434
2.6186E+00,7.08901E-09,0.0437
2.7193E+00,7.18262E-09,0.0448
2.8200E+00,6.63677E-09,0.0465
2.9207E+00,5.80386E-09,0.0506
3.0214E+00,5.84055E-09,0.0508
3.1221E+00,7.58310E-09,0.0444
3.2229E+00,6.70749E-09,0.0487
3.3236E+00,5.74302E-09,0.0533
3.4243E+00,5.38629E-09,0.0554
3.5250E+00,5.50824E-09,0.0554
3.6257E+00,5.36880E-09,0.0561
3.7264E+00,5.26457E-09,0.0567
3.8271E+00,5.17066E-09,0.0576
3.9279E+00,5.21165E-09,0.0574
4.0286E+00,5.63577E-09,0.0542
4.1293E+00,5.58174E-09,0.0546
4.2300E+00,6.04589E-09,0.0539
4.3307E+00,4.88862E-09,0.0599
4.4314E+00,4.79985E-09,0.0601
4.5321E+00,5.51966E-09,0.0568
4.6329E+00,5.98257E-09,0.0548
4.7336E+00,5.78537E-09,0.0555
