cell  80                                                                                                                              
      energy   
    4.6329E+00   5.05792E-09 0.0595
    4.7336E+00   5.57600E-09 0.0571
    4.8343E+00   5.58737E-09 0.0565
    4.9350E+00   5.37465E-09 0.0597
    5.0357E+00   4.81878E-09 0.0626
    5.1364E+00   5.42510E-09 0.0600
    5.2371E+00   5.15675E-09 0.0613
    5.3379E+00   4.32784E-09 0.0655
    5.4386E+00   3.64896E-09 0.0727
    5.5393E+00   3.65931E-09 0.0708
    5.6400E+00   4.22026E-09 0.0679
    5.7407E+00   3.80588E-09 0.0718
    5.8414E+00   3.98287E-09 0.0700
    5.9421E+00   3.55897E-09 0.0756
    6.0429E+00   3.27711E-09 0.0770
    6.1436E+00   3.83881E-09 0.0718
    6.2443E+00   2.80464E-09 0.0837
    6.3450E+00   1.76214E-09 0.1059
    6.4457E+00   2.72733E-09 0.0874
    6.5464E+00   2.80868E-09 0.0837
    6.6471E+00   3.09165E-09 0.0820
    6.7479E+00   3.14580E-09 0.0814
    6.8486E+00   2.85832E-09 0.0839
    6.9493E+00   2.68534E-09 0.0883
    7.0500E+00   2.89472E-09 0.0846
    7.1507E+00   2.74320E-09 0.0881
    7.2514E+00   2.60047E-09 0.0904
    7.3521E+00   1.85631E-09 0.1090
    7.4529E+00   1.42368E-09 0.1186
    7.5536E+00   1.48630E-09 0.1183
    7.6543E+00   1.41164E-09 0.1182
    7.7550E+00   1.39782E-09 0.1184
    7.8557E+00   1.00281E-09 0.1405
    7.9564E+00   9.97601E-10 0.1394
    8.0571E+00   1.01635E-09 0.1453
    8.1579E+00   1.05410E-09 0.1396
    8.2586E+00   9.61854E-10 0.1485
    8.3593E+00   1.33258E-09 0.1272
    8.4600E+00   1.39780E-09 0.1267
    8.5607E+00   1.11711E-09 0.1365
    8.6614E+00   9.74359E-10 0.1460
    8.7621E+00   9.15666E-10 0.1531
    8.8629E+00   8.73553E-10 0.1568
    8.9636E+00   1.02037E-09 0.1450
    9.0643E+00   7.49054E-10 0.1649
    9.1650E+00   5.71958E-10 0.1873
    9.2657E+00   5.69988E-10 0.1907
    9.3664E+00   4.98589E-10 0.2120
    9.4671E+00   6.55006E-10 0.1814
    9.5679E+00   6.77153E-10 0.1910
    9.6686E+00   6.38375E-10 0.1868
    9.7693E+00   7.26265E-10 0.1768
    9.8700E+00   4.49519E-10 0.2128
    9.9707E+00   6.22044E-10 0.1966
    1.0071E+01   5.17780E-10 0.2050
    1.0172E+01   5.73242E-10 0.2080
    1.0273E+01   8.56060E-10 0.1775
    1.0374E+01   2.56670E-10 0.2905
    1.0474E+01   5.20717E-10 0.2207
    1.0575E+01   6.05840E-10 0.2050
    1.0676E+01   4.36705E-10 0.2376
    1.0776E+01   1.59556E-10 0.3849
    1.0877E+01   1.87044E-10 0.3696
    1.0978E+01   2.75916E-10 0.2742
    1.1079E+01   1.96560E-10 0.3641
    1.1179E+01   1.02087E-10 0.4323
    1.1280E+01   1.92186E-10 0.3722
    1.1381E+01   2.33260E-10 0.3218
    1.1481E+01   2.64129E-10 0.3082
    1.1582E+01   7.59601E-11 0.5054
    1.1683E+01   3.56962E-10 0.2639
    1.1784E+01   1.48075E-10 0.3925
    1.1884E+01   1.19766E-10 0.5052
    1.1985E+01   1.45135E-10 0.3934
    1.2086E+01   1.64472E-10 0.3966
    1.2186E+01   1.83338E-10 0.3849
    1.2287E+01   2.06245E-10 0.3640
    1.2388E+01   1.51951E-10 0.3978
    1.2489E+01   7.89794E-11 0.5040
    1.2589E+01   6.02263E-11 0.5891
    1.2690E+01   1.64866E-10 0.4045
    1.2791E+01   6.24203E-11 0.6360
    1.2891E+01   4.39717E-11 0.7039
    1.2992E+01   8.39810E-11 0.5819
    1.3093E+01   4.49130E-11 0.7351
    1.3194E+01   4.43318E-11 0.6472
    1.3294E+01   2.27287E-11 1.0000
    1.3395E+01   1.72529E-11 0.9778
    1.3496E+01   5.28867E-11 0.6476
    1.3596E+01   2.82954E-11 1.0000
    1.3697E+01   6.81099E-11 0.6757
    1.3798E+01   6.84584E-11 0.7072
    1.3899E+01   4.16070E-11 0.7430
    1.3999E+01   8.27526E-11 0.5994
    1.4100E+01   0.00000E+00 0.0000
      total      4.23167E-07 0.0061
 
 cell  82                                                                                                                              
      energy   
    0.0000E+00   0.00000E+00 0.0000
    2.5000E-08   9.57044E-18 0.3051
    1.0071E-01   5.24935E-09 0.0170
    2.0143E-01   5.98790E-09 0.0228
    3.0214E-01   6.49031E-09 0.0254
    4.0286E-01   6.91985E-09 0.0274
    5.0357E-01   7.38210E-09 0.0288
    6.0429E-01   7.08083E-09 0.0302
    7.0500E-01   7.38982E-09 0.0311
    8.0571E-01   7.93724E-09 0.0311
    9.0643E-01   8.23656E-09 0.0315
    1.0071E+00   8.96468E-09 0.0322
    1.1079E+00   7.90373E-09 0.0349
    1.2086E+00   7.85471E-09 0.0353
    1.3093E+00   8.39722E-09 0.0351
    1.4100E+00   7.89326E-09 0.0364
    1.5107E+00   8.12844E-09 0.0366
    1.6114E+00   7.70509E-09 0.0376
    1.7121E+00   8.27027E-09 0.0373
    1.8129E+00   8.14709E-09 0.0383
    1.9136E+00   7.83968E-09 0.0396
    2.0143E+00   7.35662E-09 0.0412
    2.1150E+00   7.29626E-09 0.0418
    2.2157E+00   7.70834E-09 0.0413
    2.3164E+00   7.16290E-09 0.0428
    2.4171E+00   7.33802E-09 0.0423
    2.5179E+00   7.10678E-09 0.0434
    2.6186E+00   7.08901E-09 0.0437
    2.7193E+00   7.18262E-09 0.0448
    2.8200E+00   6.63677E-09 0.0465
    2.9207E+00   5.80386E-09 0.0506
    3.0214E+00   5.84055E-09 0.0508
    3.1221E+00   7.58310E-09 0.0444
    3.2229E+00   6.70749E-09 0.0487
    3.3236E+00   5.74302E-09 0.0533
    3.4243E+00   5.38629E-09 0.0554
    3.5250E+00   5.50824E-09 0.0554
    3.6257E+00   5.36880E-09 0.0561
    3.7264E+00   5.26457E-09 0.0567
    3.8271E+00   5.17066E-09 0.0576
    3.9279E+00   5.21165E-09 0.0574
    4.0286E+00   5.63577E-09 0.0542
    4.1293E+00   5.58174E-09 0.0546
    4.2300E+00   6.04589E-09 0.0539
    4.3307E+00   4.88862E-09 0.0599
    4.4314E+00   4.79985E-09 0.0601
    4.5321E+00   5.51966E-09 0.0568
    4.6329E+00   5.98257E-09 0.0548
    4.7336E+00   5.78537E-09 0.0555
    4.8343E+00   5.09206E-09 0.0590
    4.9350E+00   5.88864E-09 0.0561
    5.0357E+00   5.23525E-09 0.0601
    5.1364E+00   5.62877E-09 0.0595
    5.2371E+00   4.94155E-09 0.0613
    5.3379E+00   4.36846E-09 0.0650
    5.4386E+00   3.77536E-09 0.0692
    5.5393E+00   4.46781E-09 0.0641
    5.6400E+00   3.93085E-09 0.0698
    5.7407E+00   3.78043E-09 0.0705
    5.8414E+00   4.12038E-09 0.0691
    5.9421E+00   3.62940E-09 0.0749
    6.0429E+00   3.20424E-09 0.0797
    6.1436E+00   3.39127E-09 0.0773
    6.2443E+00   2.72758E-09 0.0844
    6.3450E+00   1.97823E-09 0.0980
    6.4457E+00   3.24241E-09 0.0814
