energy,tally,variance
0.0000E+00,0.00000E+00,0.0000
2.5000E-08,1.04733E-17,0.3241
1.0071E-01,6.10986E-09,0.0157
2.0143E-01,6.74538E-09,0.0213
3.0214E-01,7.32812E-09,0.0239
4.0286E-01,8.27956E-09,0.0250
5.0357E-01,8.26265E-09,0.0272
6.0429E-01,8.33261E-09,0.0278
7.0500E-01,8.60080E-09,0.0288
8.0571E-01,8.96453E-09,0.0292
9.0643E-01,9.34258E-09,0.0297
1.0071E+00,9.27545E-09,0.0315
1.1079E+00,9.55749E-09,0.0319
1.2086E+00,9.53248E-09,0.0322
1.3093E+00,1.00100E-08,0.0324
1.4100E+00,9.80440E-09,0.0328
1.5107E+00,9.15858E-09,0.0343
1.6114E+00,9.14142E-09,0.0349
1.7121E+00,8.36237E-09,0.0371
1.8129E+00,8.27541E-09,0.0376
1.9136E+00,9.12681E-09,0.0369
2.0143E+00,8.48041E-09,0.0380
2.1150E+00,8.43279E-09,0.0392
2.2157E+00,8.47652E-09,0.0388
2.3164E+00,8.47267E-09,0.0393
2.4171E+00,7.78747E-09,0.0410
2.5179E+00,8.38463E-09,0.0398
2.6186E+00,8.16360E-09,0.0411
2.7193E+00,7.27049E-09,0.0444
2.8200E+00,7.81851E-09,0.0430
2.9207E+00,6.02586E-09,0.0497
3.0214E+00,6.31087E-09,0.0481
3.1221E+00,7.47185E-09,0.0454
3.2229E+00,7.03634E-09,0.0476
3.3236E+00,6.73254E-09,0.0494
3.4243E+00,6.40124E-09,0.0507
3.5250E+00,5.95798E-09,0.0531
3.6257E+00,5.90369E-09,0.0534
3.7264E+00,5.85578E-09,0.0541
3.8271E+00,6.14909E-09,0.0533
3.9279E+00,6.08730E-09,0.0527
4.0286E+00,6.72009E-09,0.0500
4.1293E+00,7.08999E-09,0.0487
4.2300E+00,6.97393E-09,0.0508
4.3307E+00,5.50447E-09,0.0564
4.4314E+00,5.67292E-09,0.0558
4.5321E+00,6.15674E-09,0.0542
4.6329E+00,6.57264E-09,0.0523
4.7336E+00,5.96264E-09,0.0557
4.8343E+00,6.89390E-09,0.0513
4.9350E+00,6.20751E-09,0.0543
5.0357E+00,5.70569E-09,0.0571
5.1364E+00,6.16962E-09,0.0576
5.2371E+00,5.32559E-09,0.0596
5.3379E+00,5.28570E-09,0.0583
5.4386E+00,4.34424E-09,0.0643
5.5393E+00,4.33377E-09,0.0655
5.6400E+00,4.50232E-09,0.0651
5.7407E+00,4.37970E-09,0.0663
5.8414E+00,4.09989E-09,0.0689
5.9421E+00,3.88606E-09,0.0718
6.0429E+00,3.96269E-09,0.0703
6.1436E+00,3.51160E-09,0.0761
6.2443E+00,3.69553E-09,0.0728
6.3450E+00,2.02080E-09,0.0987
6.4457E+00,2.91309E-09,0.0849
6.5464E+00,3.11641E-09,0.0800
6.6471E+00,3.39040E-09,0.0782
6.7479E+00,3.42619E-09,0.0777
6.8486E+00,3.33281E-09,0.0798
6.9493E+00,3.35210E-09,0.0793
7.0500E+00,3.69007E-09,0.0751
7.1507E+00,3.05326E-09,0.0822
7.2514E+00,3.06328E-09,0.0851
7.3521E+00,2.08888E-09,0.0998
7.4529E+00,1.42740E-09,0.1204
7.5536E+00,1.54597E-09,0.1139
7.6543E+00,1.60793E-09,0.1142
7.7550E+00,1.36943E-09,0.1232
7.8557E+00,1.35386E-09,0.1221
7.9564E+00,9.03927E-10,0.1462
8.0571E+00,1.05475E-09,0.1375
8.1579E+00,1.25933E-09,0.1271
8.2586E+00,1.34793E-09,0.1262
8.3593E+00,1.44148E-09,0.1224
8.4600E+00,1.50607E-09,0.1194
8.5607E+00,1.38431E-09,0.1218
8.6614E+00,1.00872E-09,0.1470
8.7621E+00,1.21624E-09,0.1362
8.8629E+00,1.19489E-09,0.1402
8.9636E+00,1.05334E-09,0.1400
9.0643E+00,8.84137E-10,0.1586
9.1650E+00,4.97025E-10,0.1922
9.2657E+00,6.27793E-10,0.1794
9.3664E+00,5.84887E-10,0.1904
9.4671E+00,5.54688E-10,0.1935
9.5679E+00,6.26023E-10,0.1944
9.6686E+00,6.31880E-10,0.1913
9.7693E+00,5.95449E-10,0.1966
9.8700E+00,4.92960E-10,0.2166
9.9707E+00,5.77104E-10,0.2040
1.0071E+01,5.73295E-10,0.1978
1.0172E+01,3.94120E-10,0.2442
1.0273E+01,4.45501E-10,0.2401
1.0374E+01,4.15708E-10,0.2506
1.0474E+01,4.10787E-10,0.2450
1.0575E+01,4.43673E-10,0.2305
1.0676E+01,3.31406E-10,0.2660
1.0776E+01,3.87170E-10,0.2507
1.0877E+01,4.38923E-10,0.2366
1.0978E+01,3.00706E-10,0.2849
1.1079E+01,2.39434E-10,0.2842
1.1179E+01,2.33634E-10,0.3202
1.1280E+01,4.22217E-10,0.2471
1.1381E+01,2.10521E-10,0.3300
1.1481E+01,1.52977E-10,0.3870
1.1582E+01,3.72323E-10,0.2690
1.1683E+01,2.49406E-10,0.3400
1.1784E+01,1.38688E-10,0.3951
1.1884E+01,1.72553E-10,0.3585
1.1985E+01,1.52579E-10,0.4185
1.2086E+01,1.71875E-10,0.3590
1.2186E+01,6.15934E-11,0.5870
1.2287E+01,9.93803E-11,0.4772
1.2388E+01,1.01042E-10,0.5078
1.2489E+01,1.88671E-10,0.3615
1.2589E+01,1.79245E-10,0.3843
1.2690E+01,2.48363E-11,0.8190
1.2791E+01,1.81662E-10,0.3758
1.2891E+01,1.43311E-10,0.3963
1.2992E+01,6.82464E-11,0.6039
1.3093E+01,3.20357E-11,0.8480
1.3194E+01,9.55722E-11,0.5203
1.3294E+01,1.43781E-10,0.4550
1.3395E+01,7.41458E-11,0.5800
1.3496E+01,4.36698E-11,0.7159
1.3596E+01,6.28076E-11,0.5783
1.3697E+01,1.09209E-10,0.4524
1.3798E+01,2.51669E-11,0.7092
1.3899E+01,2.19087E-11,1.0000
1.3999E+01,4.20054E-11,0.7628
1.4100E+01,9.10131E-11,0.5844
