1tally        4        nps =   802086646
           tally type 4    track length estimate of particle flux.      units   1/cm**2        
           particle(s): neutrons 

           volumes 
                   cell:      80           81           82           83           84           85                  
                         9.98306E-01  9.98306E-01  9.98306E-01  9.98306E-01  9.98306E-01  9.98306E-01
 
 cell  80                                                                                                                              
      energy   
    1.3300E+01   0.00000E+00 0.0000
    1.3400E+01   0.00000E+00 0.0000
    1.3500E+01   1.61240E-10 1.0000
    1.3600E+01   0.00000E+00 0.0000
    1.3700E+01   0.00000E+00 0.0000
    1.3800E+01   0.00000E+00 0.0000
    1.3900E+01   0.00000E+00 0.0000
    1.4000E+01   0.00000E+00 0.0000
    1.4100E+01   0.00000E+00 0.0000
      total      2.51312E-06 0.0111
 
 cell  82                                                                                                                              
      energy   
    0.0000E+00   0.00000E+00 0.0000
    1.0000E-01   5.51016E-07 0.0235
    2.0000E-01   1.05766E-07 0.0487
    3.0000E-01   8.47305E-08 0.0544
    4.0000E-01   8.06281E-08 0.0572
    5.0000E-01   6.98206E-08 0.0603
    6.0000E-01   5.96638E-08 0.0664
    7.0000E-01   5.70783E-08 0.0685
    8.0000E-01   6.61430E-08 0.0647
    9.0000E-01   6.21662E-08 0.0666
    1.0000E+00   5.31631E-08 0.0718
    1.1000E+00   4.80871E-08 0.0742
    1.2000E+00   5.23813E-08 0.0741
    1.3000E+00   4.54168E-08 0.0775
    1.4000E+00   4.07058E-08 0.0809
    1.5000E+00   4.89596E-08 0.0768
    1.6000E+00   3.99172E-08 0.0826
    1.7000E+00   3.80466E-08 0.0854
    1.8000E+00   4.19118E-08 0.0816
    1.9000E+00   4.03418E-08 0.0831
    2.0000E+00   3.44685E-08 0.0881
    2.1000E+00   3.29376E-08 0.0897
    2.2000E+00   3.67402E-08 0.0891
    2.3000E+00   3.61429E-08 0.0892
    2.4000E+00   3.29168E-08 0.0962
    2.5000E+00   3.35956E-08 0.0906
    2.6000E+00   3.39132E-08 0.0914
    2.7000E+00   3.29648E-08 0.0939
    2.8000E+00   2.69362E-08 0.1027
    2.9000E+00   2.26865E-08 0.1111
    3.0000E+00   2.02288E-08 0.1200
    3.1000E+00   2.88899E-08 0.1012
    3.2000E+00   2.96986E-08 0.0977
    3.3000E+00   2.09015E-08 0.1174
    3.4000E+00   1.99543E-08 0.1214
    3.5000E+00   2.10056E-08 0.1188
    3.6000E+00   1.96427E-08 0.1179
    3.7000E+00   2.03007E-08 0.1208
    3.8000E+00   1.84874E-08 0.1211
    3.9000E+00   1.83232E-08 0.1238
    4.0000E+00   2.15460E-08 0.1157
    4.1000E+00   2.07428E-08 0.1171
    4.2000E+00   2.28838E-08 0.1130
    4.3000E+00   1.54339E-08 0.1270
    4.4000E+00   1.61490E-08 0.1295
    4.5000E+00   2.05935E-08 0.1180
    4.6000E+00   1.70019E-08 0.1297
    4.7000E+00   2.34488E-08 0.1129
    4.8000E+00   1.77204E-08 0.1263
    4.9000E+00   2.10691E-08 0.1165
    5.0000E+00   1.63279E-08 0.1285
    5.1000E+00   1.57461E-08 0.1354
    5.2000E+00   1.64171E-08 0.1272
    5.3000E+00   1.67312E-08 0.1366
    5.4000E+00   1.20562E-08 0.1551
    5.5000E+00   1.35033E-08 0.1460
    5.6000E+00   1.33913E-08 0.1488
    5.7000E+00   1.50811E-08 0.1368
    5.8000E+00   1.65566E-08 0.1328
    5.9000E+00   1.01399E-08 0.1756
    6.0000E+00   1.12043E-08 0.1640
    6.1000E+00   8.47044E-09 0.1890
    6.2000E+00   9.42255E-09 0.1763
    6.3000E+00   7.23511E-09 0.2109
    6.4000E+00   4.60276E-09 0.2511
    6.5000E+00   1.11371E-08 0.1607
    6.6000E+00   1.02184E-08 0.1651
    6.7000E+00   8.33584E-09 0.1917
    6.8000E+00   1.11596E-08 0.1620
    6.9000E+00   1.03714E-08 0.1672
    7.0000E+00   1.14461E-08 0.1549
    7.1000E+00   7.68645E-09 0.1960
    7.2000E+00   7.77556E-09 0.1980
    7.3000E+00   6.23095E-09 0.2167
    7.4000E+00   4.92781E-09 0.2373
    7.5000E+00   2.94372E-09 0.3115
    7.6000E+00   6.19503E-09 0.2084
    7.7000E+00   2.33527E-09 0.3459
    7.8000E+00   1.87559E-09 0.3573
    7.9000E+00   2.58360E-09 0.3208
    8.0000E+00   4.03912E-09 0.2622
    8.1000E+00   3.70815E-09 0.2701
