Memory Length,25000,Memory Length,25000,
Trigger Level,1.51V,Trigger Level,1.51V,
Source,CH1,Source,CH3,
Probe Ratio,1.000E+00,Probe Ratio,1.000E+00,
Vertical Units,V,Vertical Units,V,
Vertical Scale,1.000E-02,Vertical Scale,2.000E+00,
Vertical Position,-2.160E-02,Vertical Position,-5.760E+00,
Horizontal Units,S,Horizontal Units,S,
Horizontal Scale,5.000E-06,Horizontal Scale,5.000E-06,
Horizontal Position,1.005E-05,Horizontal Position,1.005E-05,
Horizontal Mode,Main,Horizontal Mode,Main,
Sampling Period,2.000E-09,Sampling Period,2.000E-09,
Firmware,V1.21,Firmware,V1.21,
Time,24-Mar-17 06:31:22,Time,24-Mar-17 06:31:23,
Mode,Detail,Mode,Detail,
Waveform Data,,Waveform Data,,
-1.476600e-05,-0.001200,-1.476600e-05,-0.080000,
-1.476400e-05,-0.001600,-1.476400e-05,-0.080000,
-1.476200e-05,0.000000,-1.476200e-05,-0.080000,
-1.476000e-05,0.000000,-1.476000e-05,-0.080000,
-1.475800e-05,0.002400,-1.475800e-05,-0.080000,
-1.475600e-05,0.002800,-1.475600e-05,-0.080000,
-1.475400e-05,0.002000,-1.475400e-05,-0.080000,
-1.475200e-05,0.000400,-1.475200e-05,-0.080000,
-1.475000e-05,-0.000400,-1.475000e-05,-0.080000,
-1.474800e-05,-0.000800,-1.474800e-05,-0.080000,
-1.474600e-05,-0.000400,-1.474600e-05,-0.080000,
-1.474400e-05,0.002000,-1.474400e-05,-0.080000,
-1.474200e-05,0.004000,-1.474200e-05,-0.080000,
-1.474000e-05,0.004000,-1.474000e-05,-0.080000,
-1.473800e-05,0.002800,-1.473800e-05,-0.080000,
-1.473600e-05,0.002000,-1.473600e-05,-0.080000,
-1.473400e-05,-0.000400,-1.473400e-05,-0.080000,
-1.473200e-05,-0.002000,-1.473200e-05,-0.080000,
-1.473000e-05,-0.002000,-1.473000e-05,-0.080000,
-1.472800e-05,-0.000400,-1.472800e-05,-0.080000,
-1.472600e-05,0.001200,-1.472600e-05,-0.080000,
-1.472400e-05,0.001600,-1.472400e-05,-0.080000,
-1.472200e-05,0.002400,-1.472200e-05,-0.080000,
-1.472000e-05,0.002000,-1.472000e-05,-0.080000,
-1.471800e-05,0.001600,-1.471800e-05,-0.080000,
-1.471600e-05,-0.000400,-1.471600e-05,-0.080000,
-1.471400e-05,-0.000400,-1.471400e-05,-0.080000,
-1.471200e-05,0.001200,-1.471200e-05,-0.080000,
-1.471000e-05,0.001600,-1.471000e-05,-0.080000,
-1.470800e-05,0.002400,-1.470800e-05,-0.080000,
-1.470600e-05,0.002000,-1.470600e-05,-0.080000,
-1.470400e-05,0.004000,-1.470400e-05,-0.080000,
-1.470200e-05,0.000400,-1.470200e-05,-0.080000,
-1.470000e-05,-0.003200,-1.470000e-05,-0.080000,
-1.469800e-05,-0.003600,-1.469800e-05,-0.080000,
-1.469600e-05,-0.000400,-1.469600e-05,-0.080000,
-1.469400e-05,0.001200,-1.469400e-05,-0.080000,
-1.469200e-05,0.002400,-1.469200e-05,-0.080000,
-1.469000e-05,0.002400,-1.469000e-05,-0.080000,
-1.468800e-05,0.003200,-1.468800e-05,-0.080000,
-1.468600e-05,0.001600,-1.468600e-05,-0.080000,
-1.468400e-05,0.000000,-1.468400e-05,-0.080000,
-1.468200e-05,-0.000800,-1.468200e-05,-0.080000,
-1.468000e-05,0.000400,-1.468000e-05,-0.080000,
-1.467800e-05,0.001200,-1.467800e-05,-0.080000,
-1.467600e-05,0.002000,-1.467600e-05,-0.080000,
-1.467400e-05,0.004000,-1.467400e-05,-0.160000,
-1.467200e-05,0.003200,-1.467200e-05,0.000000,
-1.467000e-05,0.002400,-1.467000e-05,-0.080000,
-1.466800e-05,0.000800,-1.466800e-05,-0.080000,
-1.466600e-05,-0.001200,-1.466600e-05,-0.080000,
-1.466400e-05,-0.002000,-1.466400e-05,-0.080000,
-1.466200e-05,-0.002800,-1.466200e-05,-0.080000,
-1.466000e-05,-0.001200,-1.466000e-05,-0.080000,
-1.465800e-05,0.001200,-1.465800e-05,-0.080000,
-1.465600e-05,0.001200,-1.465600e-05,0.000000,
-1.465400e-05,0.003200,-1.465400e-05,-0.080000,
-1.465200e-05,0.003600,-1.465200e-05,-0.080000,
-1.465000e-05,0.003200,-1.465000e-05,-0.080000,
-1.464800e-05,0.002800,-1.464800e-05,-0.080000,
