18-Ar-40(n,total) ENDF/B-VII.1
90034.1,4.93309
90037.7,5.58851
90042.3,6.84928
90051.0,9.62274
90055.3,10.3756
90056.9,10.4452
90060.5,10.1254
90065.2,8.94824
90073.6,6.24334
90077.7,5.27764
90081.2,4.74834
90085.5,4.36381
90090.4,4.16989
90096.9,4.07818
90212.0,3.96792
92030.1,3.43535
92047.1,3.5046
92052.6,3.65066
92060.0,4.09414
92070.4,4.95182
92074.9,5.08521
92080.5,4.88858
92093.4,3.84202
92099.3,3.57297
92107.2,3.44576
93219.1,3.16554
93239.6,3.19246
93247.5,3.31397
93253.4,3.61367
93258.0,4.06385
93264.9,5.11012
93271.5,6.07102
93275.9,6.30062
93280.4,6.06717
93286.8,5.14439
93293.6,4.10099
93298.2,3.63709
93303.3,3.34929
93309.8,3.20787
93345.3,3.14145
96283.3,2.63269
96416.6,2.62071
96485.9,2.65451
96501.1,2.76639
96506.5,2.95158
96510.1,3.21532
96513.6,3.66112
96517.1,4.34543
96521.2,5.50017
96531.2,9.19062
96535.2,10.1417
96537.9,10.3334
96541.5,9.976
96545.7,8.82743
96554.9,5.3912
96558.6,4.32863
96561.9,3.67768
96565.5,3.20984
96570.0,2.89359
96575.4,2.73168
96590.6,2.63115
96801.3,2.55988
99980.8,2.19039
100016.0,1.99904
101199.0,1.86124
101480.0,1.85483
101775.0,1.8914
101853.0,1.97887
101888.0,2.10885
101909.0,2.29431
101922.0,2.53301
101932.0,2.84498
101938.0,3.19817
101943.0,3.60449
101947.0,4.20368
101951.0,4.9559
101954.0,5.99475
101958.0,7.44623
101961.0,9.43227
101965.0,12.3874
101971.0,17.5514
101978.0,24.5931
101982.0,27.5736
101986.0,28.3941
101990.0,27.6062
101994.0,24.9499
102006.0,12.6957
102011.0,9.50016
102014.0,7.49928
102018.0,6.03464
102021.0,4.99649
102025.0,4.211
102030.0,3.57345
102035.0,3.16641
102042.0,2.78937
102051.0,2.51766
102065.0,2.27615
102085.0,2.10169
102123.0,1.96435
102176.0,1.89313
102393.0,1.82801
105631.0,1.60611
105653.0,1.61355
105664.0,1.68462
105669.0,1.81514
105674.0,2.01362
105682.0,2.56023
105688.0,2.95768
105693.0,3.06685
105697.0,2.97485
105703.0,2.63385
105712.0,2.04165
105717.0,1.79727
105723.0,1.67542
105727.0,1.63814
105770.0,1.60007
110503.0,1.37875
112787.0,1.32945
113701.0,1.37464
114354.0,1.49741
114658.0,1.6395
114876.0,1.83056
115137.0,2.19059
115268.0,2.51299
115376.0,2.96039
115464.0,3.51289
115540.0,4.22268
115605.0,5.08796
115670.0,6.30901
115725.0,7.71949
115779.0,9.62779
115839.0,12.4681
115914.0,17.2027
115984.0,21.7774
116034.0,23.7303
116053.0,23.9157
116081.0,23.5308
116125.0,21.6574
116252.0,13.4794
116312.0,10.511
116373.0,8.28765
116434.0,6.70377
116502.0,5.46938
116570.0,4.60973
116638.0,4.00191
116720.0,3.49516
116829.0,3.06327
116965.0,2.76027
117182.0,2.34115
117444.0,2.01868
117792.0,1.76568
118227.0,1.5794
119049.0,1.38115
120294.0,1.23346
122035.0,1.12972
124877.0,1.02826
130194.0,0.889488
138500.0,0.709175
142379.0,0.61339
148396.0,0.479395
149654.0,0.4345
149750.0,0.441442
149790.0,0.459578
149814.0,0.494857
149825.0,0.534051
149832.0,0.587816
149838.0,0.666562
149841.0,0.756607
149845.0,0.884862
149848.0,1.05877
149851.0,1.30756
149854.0,1.65391
149857.0,2.14766
149860.0,2.82793
149865.0,3.92872
149876.0,7.34489
149881.0,8.38012
149885.0,8.67027
149890.0,8.33423
149894.0,7.30472
149906.0,3.67123
149910.0,2.72479
149914.0,2.06062
149917.0,1.62604
149920.0,1.30157
149923.0,1.06694
149926.0,0.901134
149929.0,0.767322
149933.0,0.670502
149939.0,0.598312
149944.0,0.556274
149955.0,0.51013
149972.0,0.473532
149987.0,0.457893
150042.0,0.432421
150253.0,0.413446
151311.0,0.390427
152141.0,0.378446
153948.0,0.310377
156446.0,0.271385
159777.0,0.206595
160748.0,0.19892
161581.0,0.196083
162344.0,0.202042
163593.0,0.234227
164079.0,0.259173
164634.0,0.307164
165397.0,0.401347
165814.0,0.474221
166438.0,0.611334
166855.0,0.745548
167340.0,0.939303
167687.0,1.1264
168334.0,1.58205
168728.0,1.97275
