7-N-14(n,total) ENDF/B-VII.1
1.0E-5,248.639
1.30374E-5,217.831
1.71104E-5,190.23
2.22778E-5,166.809
2.92376E-5,145.718
3.80674E-5,127.828
4.996E-5,111.726
6.50481E-5,98.0758
8.53698E-5,85.799
1.11152E-4,75.402
1.45877E-4,66.0636
1.89932E-4,58.1685
2.49268E-4,51.0927
3.24548E-4,45.1272
4.2594E-4,39.7999
5.54575E-4,35.3285
7.2783E-4,31.3578
9.47636E-4,28.0481
0.00124369,25.1332
0.00177759,21.9666
0.0025407,19.4413
0.0036314,17.448
0.00519033,15.888
0.00807918,14.4246
0.0126765,13.3312
0.021661,12.3962
0.0244451,12.2267
0.0253,12.1809
0.0516848,11.424
0.126231,10.8426
0.40461,10.4141
2.41347,10.1155
85.2562,9.93373
6586.59,8.62129
14292.9,7.66073
21955.3,6.93628
40000.0,5.85013
60000.0,5.17672
87821.2,4.61324
130000.0,4.07817
200000.0,3.54526
300000.0,3.05982
410000.0,2.67662
423000.0,2.73743
426000.0,2.84841
428000.0,3.05955
429000.0,3.28441
430200.0,3.83509
430800.0,4.37395
431300.0,5.10241
431700.0,5.98359
432100.0,7.25355
432700.0,9.89399
433000.0,11.1446
433300.0,11.7169
433400.0,11.7224
433700.0,11.037
434600.0,7.18401
435000.0,5.96401
436000.0,4.28961
437000.0,3.56542
438000.0,3.20869
439500.0,2.9475
442000.0,2.75034
448000.0,2.60205
470000.0,2.47446
478000.0,2.46738
484000.0,2.50762
487000.0,2.62027
491000.0,2.88281
493000.0,2.79078
497000.0,2.52125
500000.0,2.43076
515000.0,2.30185
570000.0,2.00199
595000.0,1.76902
616000.0,1.51687
620000.0,1.49669
625500.0,1.5616
630000.0,1.71767
642000.0,2.31683
649000.0,2.48818
656000.0,2.52754
740000.0,2.07299
890000.0,1.46813
935000.0,1.20956
965000.0,1.00689
970000.0,0.99472
975000.0,1.01017
980000.0,1.07616
985000.0,1.22759
990625.0,1.55187
1001250.0,2.42806
1005000.0,2.67566
1011000.0,2.82037
1012000.0,2.82413
1020750.0,2.68324
1045000.0,2.14776
1065000.0,1.90635
1080000.0,1.82908
1090000.0,1.85748
1095000.0,1.92565
1100000.0,2.07209
1105000.0,2.37959
1110500.0,3.09958
1115000.0,3.89891
1117000.0,4.09578
1119000.0,3.99998
1122500.0,3.37734
1125000.0,2.89557
1130000.0,2.23857
1135000.0,1.89652
1140000.0,1.70986
1147500.0,1.56195
1160000.0,1.44103
1174000.0,1.39605
1179000.0,1.4244
1181000.0,1.47758
1182000.0,1.56107
1183000.0,1.79156
1183400.0,2.00825
1183700.0,2.28934
1184000.0,2.73071
1184500.0,3.70225
1184650.0,3.8398
1184700.0,3.84387
1184800.0,3.80021
1185050.0,3.39674
1185450.0,2.59183
1185700.0,2.24181
1186000.0,1.96803
1186400.0,1.75669
1187000.0,1.59747
1188000.0,1.49002
1190000.0,1.42954
1192000.0,1.42035
1198000.0,1.48044
1200000.0,1.53094
1206250.0,1.8682
1210000.0,2.1062
1220000.0,1.58869
1225000.0,1.48269
1235000.0,1.41964
1240000.0,1.41389
1270000.0,1.47518
1302500.0,1.63703
1320000.0,1.81493
1327500.0,1.97738
1331250.0,2.10462
1335000.0,2.27783
1340620.0,2.75938
1345000.0,3.31881
1350000.0,3.76675
1355000.0,3.37345
1361000.0,2.72579
1365000.0,2.48214
1370000.0,2.33041
1376000.0,2.27957
1385000.0,2.34853
1404000.0,2.69833
1406000.0,2.70859
1415000.0,2.61872
1435000.0,2.22488
1452500.0,2.0622
1485000.0,1.95956
1535000.0,1.92362
1565000.0,1.97126
1575000.0,2.06032
1582000.0,2.22697
1586000.0,2.42664
