7-N-14(n,total) ENDF/B-VII.1
1590000.0,2.78495
1596000.0,3.60528
1598000.0,3.72596
1600000.0,3.64055
1607000.0,2.75632
1610000.0,2.49357
1615000.0,2.24133
1622500.0,2.06803
1635000.0,1.94742
1670000.0,1.86226
1690000.0,1.85292
1727500.0,1.90736
1745000.0,2.02001
1757500.0,2.20867
1767500.0,2.47663
1782000.0,2.9393
1786000.0,2.96971
1792500.0,2.84899
1810000.0,2.26819
1822500.0,2.02125
1840000.0,1.84617
1870000.0,1.72085
1950000.0,1.60396
2120000.0,1.50375
2170000.0,1.53944
2195000.0,1.64611
2222000.0,1.82771
2226000.0,1.83345
2245000.0,1.75179
2280000.0,1.5775
2330000.0,1.48735
2447440.0,1.42017
2475000.0,1.43767
2476000.0,1.59292
2477130.0,1.4323
2490000.0,1.42251
2505000.0,1.46251
2507500.0,1.53469
2509250.0,1.6905
2510250.0,1.78748
2510500.0,1.79653
2511500.0,1.72631
2513250.0,1.55051
2515000.0,1.47769
2522500.0,1.42
2540000.0,1.40103
2560000.0,1.40399
2600000.0,1.39303
2640000.0,1.43886
2665000.0,1.371
2675000.0,1.356
2687500.0,1.3695
2695000.0,1.40629
2703000.0,1.5375
2708000.0,1.61336
2712000.0,1.5548
2720000.0,1.38223
2730000.0,1.2951
2755000.0,1.22811
2800000.0,1.38793
2850000.0,1.4425
2880000.0,1.45729
2887500.0,1.5365
2891000.0,1.5775
2901000.0,1.446
2908000.0,1.39777
2920000.0,1.49893
2937500.0,1.571
2945000.0,1.67017
2949000.0,1.8075
2952000.0,1.98986
2956500.0,2.356
2958000.0,2.38424
2960000.0,2.2792
2964000.0,1.9449
2967000.0,1.79
2970000.0,1.69752
2977500.0,1.6075
2990000.0,1.56809
3060000.0,1.63207
3085000.0,1.75479
3102500.0,1.6845
3130000.0,1.62302
3150000.0,1.61714
3175000.0,1.731
3200000.0,1.8938
3215000.0,1.8635
3250000.0,1.64806
3290000.0,1.561
3340000.0,1.52903
3380000.0,1.53698
3440000.0,1.51402
3470000.0,1.5455
3485000.0,1.60418
3492500.0,1.7035
3497500.0,1.8235
3508000.0,2.1962
3510000.0,2.22
3514000.0,2.14252
3523000.0,1.79396
3530000.0,1.78103
3552000.0,1.82609
3560000.0,1.94334
3568000.0,2.21169
3571000.0,2.17949
3579000.0,1.89719
3587500.0,1.7825
3610000.0,1.70303
3655000.0,1.6639
3670000.0,1.66282
3800000.0,1.73801
3980000.0,1.9345
4020000.0,2.00105
4060000.0,2.11788
4100000.0,2.06511
4180000.0,2.3392
4216250.0,2.25385
4304320.0,1.90552
4430000.0,1.641
4460000.0,1.61505
4510000.0,1.68283
4532500.0,1.59
4540000.0,1.55739
4590000.0,1.78085
4600000.0,1.78284
4620000.0,1.69893
4660000.0,1.42907
4700000.0,1.25703
4750000.0,1.135
4810000.0,1.038
4860000.0,1.01701
4934760.0,1.05676
5000000.0,1.15302
5150000.0,1.47297
5250000.0,1.52098
5460000.0,1.45401
5535000.0,1.494
5570000.0,1.5539
5640000.0,1.43003
5820000.0,1.30355
5910000.0,1.351
5960000.0,1.40996
6020000.0,1.35006
6080000.0,1.40126
6180000.0,1.5477
6220000.0,1.57152
6250000.0,1.5114
6310000.0,1.33847
6380000.0,1.2671
6541890.0,1.39152
6739430.0,1.19703
6846130.0,1.16563
7000000.0,1.22924
7150000.0,1.38621
7310000.0,1.60593
7350000.0,1.54955
7420000.0,1.67272
7460000.0,1.6284
7517720.0,1.48484
7575000.0,1.42575
7650000.0,1.402
7740000.0,1.43184
7860000.0,1.59826
7890000.0,1.64433
7900000.0,1.6459
8000000.0,1.3935
8100000.0,1.30915
8350000.0,1.20771
8500000.0,1.25284
8550000.0,1.24701
8700000.0,1.28698
8950000.0,1.25885
9101440.0,1.27304
9250000.0,1.26362
9400000.0,1.27199
9457470.0,1.27083
1.01E7,1.3972
1.03E7,1.44486
1.05E7,1.40404
1.07E7,1.45998
1.10445E7,1.34227
1.11E7,1.33399
1.24E7,1.56177
1.28E7,1.57735
1.35E7,1.56196
1.5813E7,1.5899
1.64E7,1.57001
1.6884E7,1.57999
1.95E7,1.549
1.98E7,1.551
2.35E7,1.46021
3.10827E7,1.37758
4.2E7,1.21275
5.4E7,1.0076
7.05E7,0.783137
8.9E7,0.618044
1.085E8,0.506489
1.26E8,0.433498
1.5E8,0.377001
