7-N-15(n,total) ENDF/B-VII.1
1.0893E7,1.49974
1.09E7,1.47928
1.0975E7,1.56582
1.1039E7,1.65491
1.11E7,1.66397
1.12E7,1.64002
1.14E7,1.67496
1.185E7,1.56005
1.21E7,1.66893
1.25E7,1.51203
1.27E7,1.53997
1.28E7,1.52902
1.295E7,1.5625
1.32E7,1.71095
1.35E7,1.66002
1.37E7,1.67897
1.3865E7,1.63203
1.425E7,1.68998
1.4875E7,1.6155
1.5E7,1.61203
1.525E7,1.68097
1.6E7,1.61702
1.6375E7,1.676
1.65E7,1.68399
1.725E7,1.674
1.775E7,1.70499
1.825E7,1.68402
1.925E7,1.755
1.95E7,1.75001
1.975E7,1.76299
2.0E7,1.761
