,Beam energy after exit from IC1,Energy deposited in IC1,Current in IC1,Beam energy after exit from water column,Beam energy after exit from IC2,Energy deposited in IC2,Current in IC2
0.0,149.990413084,0.00958691624686,3.42717705342e-10,149.984994685,149.975407107,0.0095875775902,3.42741347362e-10
2.0,149.990413084,0.00958691624686,3.42717705342e-10,138.881885194,138.871770974,0.0101142200663,3.61568016574e-10
4.0,149.990413084,0.00958691624686,3.42717705342e-10,127.115816022,127.105048532,0.010767489482,3.8492140669e-10
6.0,149.990413084,0.00958691624686,3.42717705342e-10,114.505824092,114.494215806,0.0116082851105,4.14978574295e-10
8.0,149.990413084,0.00958691624686,3.42717705342e-10,100.796824098,100.784077641,0.0127464573303,4.55666503702e-10
10.0,149.990413084,0.00958691624686,3.42717705342e-10,85.5238351505,85.5094198757,0.0144152748082,5.15324195699e-10
12.0,149.990413084,0.00958691624686,3.42717705342e-10,67.8202778128,67.8030592749,0.0172185379578,6.15536598661e-10
14.0,149.990413084,0.00958691624686,3.42717705342e-10,45.3764910023,45.3528692742,0.0236217280821,8.444409272e-10
14.2,149.990413084,0.00958691624686,3.42717705342e-10,42.6337665422,42.6089399251,0.0248266171049,8.87513881052e-10
14.4,149.990413084,0.00958691624686,3.42717705342e-10,39.7416859221,39.7154234983,0.0262624238229,9.38841792036e-10
14.6,149.990413084,0.00958691624686,3.42717705342e-10,36.6853607385,36.6573557158,0.0280050227439,1.00113705864e-09
14.8,149.990413084,0.00958691624686,3.42717705342e-10,33.3911129211,33.3609035318,0.0302093893374,1.07993981869e-09
15.0,149.990413084,0.00958691624686,3.42717705342e-10,29.8098783268,29.7767697843,0.0331085425094,1.18358014442e-09
15.2,149.990413084,0.00958691624686,3.42717705342e-10,25.860201286,25.8230525223,0.0371487637276,1.32801192095e-09
15.4,149.990413084,0.00958691624686,3.42717705342e-10,21.3184578832,21.2750009835,0.0434568997325,1.55351820899e-09
15.5,149.990413084,0.00958691624686,3.42717705342e-10,18.7234632963,18.6751693719,0.0482939243567,1.72643449794e-09
15.6,149.990413084,0.00958691624686,3.42717705342e-10,15.7947419349,15.739283387,0.0554585479293,1.9825589166e-09
15.7,149.990413084,0.00958691624686,3.42717705342e-10,12.3731157618,12.3054910924,0.0676246693818,2.41747929347e-09
15.8,149.990413084,0.00958691624686,3.42717705342e-10,7.84870551094,7.7509929117,0.0977125992403,3.49307712014e-09
15.8754647082,149.990413084,0.00958691624686,3.42717705342e-10,0.0,0.0,0.0,0.0
