,Name,IPEDS#,Carm R1,HBC,% Blk Total Students,% Hisp Total Students,2017 US News top 65,2014 Med School,Vet School, Total Enroll ,% Grad Enroll,Six-year graduation rate, ACT/ SAT Avg ,Fresh Admit Rate,% Freshmen Retention,% UG Pell Grants,% Bachelors,% Doct/ Profess,Total E&G Expend,E&G / St. FTE,State Approp Rev,Tuition/Fee Rev ,% Rev from State,% Rev from Tuit/Fees,% from State / Tuition,Endowment,Total Research Expenditures ($000),Student Faculty Ratio,Total Faculty,ARU Faculty Awards,Wall St. Jourl Rank, ST. FTE ,Total Degrees,Total Expend,Total Revenue,Enowment / St. FTE,Total Research Exp - Med School Exp ($000),AG Research ($000),Total Tenure /Tenure-Track Facutly,Facutly FTE,% UG with Loans,% UG Age 25 +,% Total Age 25 +, % Full-Time ,Faculty Academy Memb, UG Total Enroll , GR Total Enroll , Full-time Students , Part-time Students ,UG Enroll Age 25 +,GR Enroll Age 25 +,Bach Degrees,Masters Degrees,Doctoral Degrees,Profess Degrees,ACT/ SAT 25%,ACT/ SAT 75%,(State/ Tuit)/ St. FTE,Med School Res $,Academic Support Expenditures,Student Services Expenditures,Endowment Figure,Endowment per Student FTE,Total Faculty,Total Tenure /Tenure-Track Facutly
10,Iowa State Univ.,153603,1,No, 3 , 4 ,51,,x," 35,714 ", 16 , 71 , 25.0 , 87 , 87 , 20 , 82 , 6 ,"$924,545,163","$34,833","$250,353,637","$319,863,216",20,26,46,"$760,460,621"," $306,125 ", 19 ," 1,870 ", 10 ,315," 33,571 "," 7,530 ","$1,169,360,661","$1,236,446,158","$22,141"," $306,125 "," $49,050 "," 1,326 "," 1,681 ", 52 , 5 , 15 , 91 , 5 ," 30,034 "," 5,680 "," 32,499 "," 3,215 "," 1,508 "," 3,942 "," 6,144 ", 903 , 336 , 147 , 22 , 28 ,"$16,986", $-   ," $702,478,683 ","$20,925","$702,478,683","$20,925"," 1,587 "," 1,285 "
11,NC State Univ.,199193,1,No, 6 , 4 ,38,,x," 34,015 ", 29 , 75 , 27.5 , 50 , 93 , 21 , 64 , 7 ,"$1,145,457,853","$46,212","$481,548,424","$270,139,559",33,19,52,"$998,600,000"," $468,293 ", 15 ," 1,965 ", 14 ,143," 29,183 "," 8,657 ","$1,348,601,157","$1,449,454,784","$35,429"," $468,293 "," $99,041 "," 1,360 "," 1,802 ", 41 , 9 , 26 , 79 , 20 ," 24,111 "," 9,904 "," 26,767 "," 7,248 "," 2,121 "," 6,767 "," 5,555 "," 2,338 ", 512 , 79 , 25 , 30 ,"$25,758", $-   ," $885,055,000 ","$30,328","$885,055,000","$30,328"," 1,690 "," 1,350 "
12,Pennsylvania State Univ. ,214777,1,No, 4 , 6 ,14,pre clin,," 47,307 ", 14 , 86 , 26.5 , 51 , 93 , 13 , 84 , 6 ,"$3,027,334,000","$106,475","$399,783,000","$1,696,729,000",8,32,40,"$3,742,900,000"," $791,031 ", 16 ," 3,540 ", 21 ,96," 46,042 "," 13,013 ","$4,902,341,000","$5,293,400,000","$81,293"," $698,465 "," $86,469 "," 1,608 "," 3,051 ", 49 , 2 , 12 , 96 , 27 ," 40,742 "," 6,565 "," 45,410 "," 1,897 ", 991 ," 4,521 "," 10,876 "," 1,342 ", 673 , 102 , 24 , 29 ,"$45,534"," $92,566 ", $-   ,$0,"$1,434,107,000","$31,148"," 2,787 "," 1,608 "
13,Univ. of California - Davis,110644,1,No, 2 , 17 ,10,x,x," 35,186 ", 20 , 85 , 26.5 , 38 , 93 , 38 , 79 , 10 ,"$2,125,853,500","$114,412","$373,591,000","$460,452,000",9,11,20,"$965,805,389"," $721,077 ", 18 ," 2,615 ", 14 ,43," 34,260 "," 9,863 ","$3,919,758,000","$4,081,222,000","$27,613"," $554,564 "," $137,628 "," 1,475 "," 2,349 ", 39 , 6 , 19 , 96 , 46 ," 28,257 "," 6,929 "," 33,797 "," 1,389 "," 1,642 "," 5,002 "," 7,762 "," 1,123 ", 553 , 425 , 23 , 30 ,"$24,345"," $166,513 "," $320,745,000 ","$9,362","$320,745,000","$9,362"," 2,211 "," 1,431 "
14,Ohio State Univ. ,204796,1,No, 5 , 4 ,16,x,x," 58,663 ", 23 , 83 , 29.0 , 49 , 94 , 17 , 71 , 11 ,"$2,324,441,728","$97,197","$416,187,680","$811,302,294",7,14,22,"$1,722,216,779"," $817,881 ", 19 ," 5,093 ", 29 ,71," 53,540 "," 15,303 ","$5,203,887,926","$5,627,192,064","$29,036"," $479,769 "," $58,895 "," 2,407 "," 4,094 ", 43 , 8 , 21 , 87 , 32 ," 45,289 "," 13,374 "," 50,978 "," 7,685 "," 3,602 "," 8,434 "," 10,898 "," 2,707 ", 832 , 863 , 27 , 31 ,"$22,927"," $338,112 "," $3,595,323,149 ","$67,153","$3,595,323,149","$67,153"," 3,594 "," 2,386 "
15,Univ. of Florida,134130,1,No, 6 , 17 ,14,x,x," 50,645 ", 34 , 87 , 28.0 , 48 , 96 , 27 , 59 , 13 ,"$2,463,330,000","$57,442","$638,531,000","$375,820,000",22,13,35,"$1,467,823,502"," $739,522 ", 20 ," 2,998 ", 15 ,56," 45,313 "," 14,634 ","$2,602,872,000","$2,865,955,000","$44,229"," $465,988 "," $167,641 "," 2,078 "," 2,647 ", 31 , 5 , 25 , 84 , 25 ," 33,402 "," 17,243 "," 42,647 "," 7,998 "," 1,541 "," 11,373 "," 8,696 "," 3,630 ", 778 ," 1,137 ", 26 , 30 ,"$22,385"," $273,534 "," $1,519,964,000 ","$33,544","$1,519,964,000","$33,544"," 2,471 "," 1,981 "
16,Univ. of Illinois ,145637,1,No, 5 , 8 ,10,x,x," 45,842 ", 27 , 85 , 28.5 , 66 , 93 , 21 , 66 , 9 ,"$2,257,275,682","$59,986","$258,640,256","$719,151,731",10,27,37,"$1,489,990,976"," $639,817 ", 19 ," 2,593 ", 29 ,48," 43,118 "," 13,041 ","$2,586,487,077","$2,646,806,576","$32,503"," $639,817 "," $130,410 "," 1,835 "," 2,383 ", 38 , 2 , 18 , 91 , 55 ," 33,368 "," 12,474 "," 41,756 "," 4,086 ", 674 ," 7,540 "," 8,621 "," 3,286 ", 829 , 305 , 26 , 31 ,"$22,677", $-   ," $1,289,584,273 ","$29,908","$1,289,584,273","$29,908"," 2,278 "," 1,799 "
17,Univ. of Wisconsin ,240444,1,No, 2 , 5 ,10,x,x," 42,716 ", 27 , 85 , 29.0 , 58 , 96 , 12 , 71 , 12 ,"$2,175,188,662","$63,725","$387,773,287","$413,841,600",15,16,31,"$2,739,728,036"," $1,069,077 ", 18 ," 4,363 ", 26 ,67," 39,792 "," 12,406 ","$2,535,761,218","$2,546,274,588","$70,553"," $763,051 "," $55,099 "," 2,107 "," 3,746 ", 35 , 5 , 22 , 90 , 75 ," 30,991 "," 11,725 "," 38,330 "," 4,386 "," 1,577 "," 8,020 "," 8,747 "," 2,153 ", 857 , 649 , 27 , 31 ,"$20,145"," $306,026 "," $3,133,196,699 ","$78,739","$3,133,196,699","$78,739"," 3,393 "," 1,982 "
18,Univ. of California - Berkeley,110635,1,No, 2 , 12 ,1,,," 38,189 ", 28 , 92 , 31.0 , 17 , 96 , 26 , 71 , 10 ,"$2,398,394,750","$72,157","$344,389,000","$730,157,000",12,26,38,"$3,845,280,801"," $788,505 ", 17 ," 2,337 ", 32 ,37," 36,703 "," 12,067 ","$2,648,373,000","$2,845,717,000","$103,398"," $788,505 "," $62,493 "," 1,404 "," 1,900 ", 26 , 6 , 26 , 94 , 230 ," 27,496 "," 10,693 "," 35,960 "," 2,229 "," 1,686 "," 8,091 "," 8,516 "," 2,386 ", 826 , 339 , 28 , 34 ,"$29,277", $-   ," $1,671,939,000 ","$45,553","$1,671,939,000","$45,553"," 1,650 "," 1,381 "
19,Univ. of California - Los Angeles,110662,1,No, 3 , 18 ,2,x,," 41,908 ", 29 , 91 , 29.5 , 17 , 96 , 30 , 66 , 11 ,"$3,937,954,640","$154,179","$473,116,000","$668,355,000",7,10,17,"$3,849,133,252"," $1,021,227 ", 16 ," 4,395 ", 33 ,26," 40,967 "," 12,749 ","$6,316,298,000","$6,630,992,000","$90,249"," $472,843 ",," 1,731 "," 3,682 ", 35 , 5 , 25 , 97 , 100 ," 29,585 "," 12,323 "," 40,497 "," 1,411 "," 1,517 "," 8,892 "," 8,373 "," 2,992 ", 774 , 610 , 26 , 33 ,"$27,863"," $548,384 "," $1,616,045,000 ","$39,447","$1,616,045,000","$39,447"," 3,290 "," 1,688 "
20,Univ. of California - Santa Barbara,110705,1,No, 2 , 24 ,8,,," 23,497 ", 12 , 81 , 27.5 , 33 , 93 , 38 , 86 , 6 ,"$809,412,478","$43,285","$185,034,000","$325,013,000",19,33,51,"$279,311,267"," $222,870 ", 17 ," 1,103 ", 11 ,106," 23,150 "," 6,225 ","$1,002,033,000","$998,909,000","$11,993"," $222,870 ",, 810 , 983 , 40 , 2 , 11 , 98 , 58 ," 20,607 "," 2,890 "," 22,976 ", 521 , 464 ," 2,027 "," 5,357 ", 519 , 349 , -   , 24 , 31 ,"$22,033", $-   ," $144,379,000 ","$6,237","$144,379,000","$6,237", 923 , 803 
21,Univ. of Maryland ,163286,1,No, 11 , 8 ,20,,," 38,140 ", 28 , 86 , 29.5 , 45 , 95 , 14 , 70 , 6 ,"$1,471,736,805","$50,307","$466,392,497","$434,750,774",26,24,50,"$466,074,705"," $505,699 ", 17 ," 2,488 ", 11 ,100," 35,047 "," 10,955 ","$1,763,134,901","$1,813,041,454","$14,163"," $505,699 "," $56,326 "," 1,410 "," 2,038 ", 34 , 7 , 25 , 88 , 30 ," 27,443 "," 10,697 "," 33,501 "," 4,639 "," 1,793 "," 7,582 "," 7,700 "," 2,562 ", 654 , 39 , 27 , 32 ,"$25,712", $-   ," $487,268,756 ","$13,903","$487,268,756","$13,903"," 1,813 "," 1,376 "
22,Univ. of Michigan ,170976,1,No, 4 , 5 ,4,x,," 43,651 ", 35 , 90 , 31.0 , 26 , 97 , 13 , 58 , 12 ,"$2,828,120,000","$154,853","$295,174,000","$990,071,000",4,15,19,"$9,743,461,082"," $1,369,278 ", 12 ," 7,703 ", 50 ,24," 41,960 "," 14,005 ","$6,497,563,000","$6,713,333,000","$176,970"," $805,834 "," $18,542 "," 2,934 "," 6,713 ", 32 , 2 , 23 , 94 , 106 ," 28,312 "," 15,339 "," 41,114 "," 2,537 ", 498 ," 9,541 "," 8,097 "," 4,296 ", 882 , 730 , 29 , 33 ,"$30,630"," $563,444 "," $9,603,919,000 ","$228,885","$9,603,919,000","$228,885"," 6,218 "," 2,744 "
23,Univ. of North Carolina ,199120,1,No, 8 , 7 ,5,x,," 29,084 ", 37 , 90 , 30.5 , 31 , 97 , 20 , 64 , 13 ,"$2,172,914,100","$116,880","$479,186,534","$395,005,214",15,13,28,"$2,899,973,752"," $966,781 ", 14 ," 1,966 ", 21 ,30," 25,741 "," 9,261 ","$3,008,647,399","$3,099,203,311","$105,385"," $432,593 ",," 1,215 "," 1,816 ", 32 , 4 , 30 , 83 , 38 ," 18,415 "," 10,669 "," 24,070 "," 5,014 ", 710 ," 7,951 "," 5,901 "," 2,141 ", 519 , 700 , 28 , 33 ,"$33,961"," $534,188 "," $2,659,759,286 ","$103,326","$2,659,759,286","$103,326"," 1,731 "," 1,209 "
24,Univ. of Pittsburgh ,215293,1,No, 5 , 3 ,24,x,," 28,649 ", 34 , 82 , 28.0 , 54 , 92 , 15 , 61 , 13 ,"$1,819,598,000","$73,917","$184,905,000","$580,633,000",9,28,37,"$3,546,458,000"," $861,205 ", 15 ," 4,640 ", 28 ,59," 26,526 "," 8,617 ","$1,960,705,000","$2,060,915,000","$108,406"," $240,100 ",," 1,597 "," 4,168 ", 54 , 6 , 26 , 89 , 33 ," 18,908 "," 9,741 "," 25,464 "," 3,185 "," 1,132 "," 6,259 "," 5,232 "," 2,295 ", 438 , 652 , 26 , 30 ,"$28,860"," $621,105 ", $-   ,$0,"$3,610,395,000","$136,109"," 3,932 "," 1,565 "
25,Univ. of Texas - Austin,228778,1,No, 4 , 20 ,18,x,," 50,950 ", 22 , 80 , 29.0 , 39 , 95 , 22 , 68 , 10 ,"$2,111,270,659","$52,969","$829,369,276","$471,983,244",30,17,47,"$10,935,780,996"," $650,608 ", 18 ," 3,043 ", 17 ,51," 48,321 "," 14,070 ","$2,559,511,752","$2,763,545,564","$234,176"," $646,273 ",," 1,855 "," 2,833 ", 36 , 4 , 19 , 92 , 72 ," 39,619 "," 11,331 "," 47,007 "," 3,943 "," 1,694 "," 7,835 "," 9,503 "," 3,188 ", 899 , 480 , 26 , 32 ,"$26,931"," $4,335 "," $3,376,824,061 ","$69,883","$3,376,824,061","$69,883"," 2,728 "," 1,855 "
26,Univ. of Virginia,234076,1,No, 6 , 5 ,2,x,," 23,883 ", 30 , 93 , 30.5 , 30 , 97 , 12 , 64 , 12 ,"$1,226,864,767","$125,365","$136,725,428","$479,424,150",4,15,19,"$5,852,308,928"," $373,218 ", 15 ," 2,285 ", 11 ,56," 22,459 "," 7,463 ","$2,815,575,207","$3,201,054,439","$27,987"," $154,425 ",," 1,392 "," 2,180 ", 26 , 5 , 24 , 91 , 24 ," 16,736 "," 7,147 "," 21,747 "," 2,136 ", 762 ," 4,946 "," 4,812 "," 1,760 ", 366 , 525 , 28 , 33 ,"$27,434"," $218,793 "," $5,876,310,216 ","$261,646","$5,876,310,216","$261,646"," 2,127 "," 1,387 "
27,Univ. of Washington,236948,1,No, 2 , 7 ,16,x,," 45,408 ", 32 , 84 , 27.5 , 53 , 94 , 21 , 63 , 10 ,"$3,014,445,149","$113,431","$255,156,233","$914,419,476",5,18,23,"$2,968,012,527"," $1,180,563 ", 20 ," 4,559 ", 39 ,61," 41,851 "," 13,344 ","$4,747,225,369","$4,982,563,228","$53,035"," $645,304 "," $30,856 "," 2,910 "," 3,899 ", 30 , 9 , 30 , 88 , 116 ," 31,063 "," 14,345 "," 40,073 "," 5,335 "," 2,811 "," 10,970 "," 8,343 "," 3,606 ", 841 , 554 , 24 , 31 ,"$27,946"," $535,259 "," $2,915,057,707 ","$69,653","$2,915,057,707","$69,653"," 3,569 "," 2,554 "
28,Louisiana State Univ. ,159391,1,No, 12 , 6 ,64,,x," 31,524 ", 17 , 67 , 25.5 , 77 , 85 , 22 , 73 , 9 ,"$913,203,418","$38,006","$217,160,961","$308,224,959",19,26,45,"$416,717,253"," $281,154 ", 23 ," 1,451 ", 5 ,441," 29,067 "," 6,441 ","$1,104,694,912","$1,164,446,959","$14,233"," $281,154 "," $74,013 ", 965 ," 1,338 ", 30 , 5 , 16 , 88 , 3 ," 26,156 "," 5,368 "," 27,838 "," 3,686 "," 1,356 "," 3,641 "," 4,707 "," 1,130 ", 331 , 273 , 23 , 28 ,"$18,075", $-   ," $506,467,351 ","$17,424","$506,467,351","$17,424"," 1,282 ", 965 
29,Virginia Tech,233921,1,No, 4 , 5 ,27,,x," 32,663 ", 22 , 83 , 26.5 , 73 , 94 , 15 , 75 , 7 ,"$1,046,798,126","$41,580","$242,830,896","$411,207,016",18,30,48,"$842,991,159"," $504,282 ", 14 ," 1,745 ", 7 ,149," 30,759 "," 8,204 ","$1,278,963,580","$1,352,244,962","$26,949"," $504,282 "," $104,627 "," 1,424 "," 1,809 ", 42 , 3 , 18 , 91 , 16 ," 25,384 "," 7,279 "," 29,807 "," 2,856 ", 637 ," 5,245 "," 6,134 "," 1,428 ", 488 , 105 , 24 , 29 ,"$21,263", $-   ," $788,800,000 ","$25,645","$788,800,000","$25,645"," 1,731 "," 1,419 "
30,Univ. of Kentucky,157085,1,No, 7 , 4 ,63,x,x," 29,727 ", 24 , 63 , 25.0 , 89 , 83 , 26 , 69 , 12 ,"$1,288,801,010","$94,760","$279,611,300","$302,936,441",9,10,20,"$1,096,112,000"," $331,705 ", 17 ," 2,134 ", 12 ,380," 27,872 "," 6,572 ","$2,641,130,361","$2,954,536,247","$38,024"," $204,321 "," $59,511 "," 1,526 "," 1,836 ", 45 , 7 , 21 , 91 , 3 ," 22,705 "," 7,022 "," 26,944 "," 2,783 "," 1,659 "," 4,553 "," 4,504 "," 1,260 ", 295 , 513 , 22 , 28 ,"$20,901"," $127,384 "," $1,215,225,687 ","$43,601","$1,215,225,687","$43,601"," 1,686 "," 1,477 "
31,Mississippi State Univ.,176080,2,No, 19 , 2 ,93,,x," 20,873 ", 17 , 60 , 25.0 , 65 , 82 , 32 , 77 , 5 ,"$557,124,295","$33,938","$180,278,300","$134,396,877",27,20,46,"$444,485,187"," $226,359 ", 19 ," 1,110 ", 1 ,487," 18,873 "," 4,197 ","$640,511,953","$677,923,258","$23,809"," $226,359 "," $106,463 ", 749 ," 1,007 ", 49 , 10 , 20 , 86 , 2 ," 17,421 "," 3,452 "," 17,873 "," 3,000 "," 1,659 "," 2,596 "," 3,211 ", 760 , 146 , 80 , 21 , 29 ,"$16,673", $-   ," $456,609,736 ","$24,194","$456,609,736","$24,194", 956 , 748 
32,Univ. of Missouri ,178396,1,No, 7 , 3 ,51,x,x," 35,424 ", 22 , 69 , 26.5 , 78 , 87 , 21 , 72 , 9 ,"$889,922,805","$65,026","$224,562,005","$343,506,166",10,15,26,"$869,565,594"," $246,684 ", 20 ," 2,664 ", 6 ,325," 32,468 "," 8,347 ","$2,111,260,516","$2,216,331,274","$28,357"," $222,677 "," $86,596 ", 990 ," 2,130 ", 46 , 3 , 18 , 87 , 8 ," 27,791 "," 7,633 "," 30,990 "," 4,434 ", 940 ," 5,309 "," 5,995 "," 1,571 ", 435 , 346 , 24 , 29 ,"$17,496"," $24,007 "," $806,717,048 ","$24,847","$806,717,048","$24,847"," 1,848 ", 973 
33,Univ. of Alabama ,100751,2,No, 11 , 4 ,46,,," 37,098 ", 14 , 67 , 26.5 , 54 , 86 , 19 , 74 , 6 ,"$735,249,498","$27,602","$146,222,914","$452,717,202",14,45,59,"$798,438,258"," $58,234 ", 24 ," 1,867 ", 4 ,398," 33,706 "," 8,390 ","$930,367,041","$1,008,832,367","$22,735"," $58,234 ",, 897 ," 1,508 ", 41 , 8 , 17 , 86 , -   ," 31,958 "," 5,140 "," 32,010 "," 5,088 "," 2,590 "," 3,556 "," 6,195 "," 1,672 ", 264 , 259 , 22 , 31 ,"$17,770", $-   ," $667,980,131 ","$19,818","$667,980,131","$19,818"," 1,328 ", 895 
34,Univ. of Arkansas -,106397,1,No, 5 , 7 ,64,,," 26,754 ", 17 , 62 , 25.5 , 60 , 82 , 21 , 75 , 5 ,"$629,994,729","$33,107","$205,745,146","$189,315,846",25,23,47,"$898,907,868"," $133,660 ", 19 ," 1,333 ", 5 ,427," 23,195 "," 5,997 ","$767,906,927","$834,487,120","$37,010"," $133,660 "," $68,084 ", 790 ," 1,210 ", 40 , 10 , 20 , 80 , 3 ," 22,159 "," 4,595 "," 21,415 "," 5,339 "," 2,132 "," 3,346 "," 4,482 "," 1,208 ", 173 , 134 , 23 , 28 ,"$17,032", $-   ," $929,693,370 ","$40,082","$929,693,370","$40,082"," 1,149 ", 785 
