,Name,IPEDS#,Carm R1,HBC,% Blk Total Students,% Hisp Total Students,2017 US News top 65,2014 Med School,Vet School, Total Enroll ,% Grad Enroll,Six-year graduation rate, ACT/ SAT Avg ,Fresh Admit Rate,% Freshmen Retention,% UG Pell Grants,% Bachelors,% Doct/ Profess,Total E&G Expend,E&G / St. FTE,State Approp Rev,Tuition/Fee Rev ,% Rev from State,% Rev from Tuit/Fees,% from State / Tuition,Endowment,Total Research Expenditures ($000),Student Faculty Ratio,Total Faculty,ARU Faculty Awards,Wall St. Jourl Rank, ST. FTE ,Total Degrees,Total Expend,Total Revenue,Enowment / St. FTE,Total Research Exp - Med School Exp ($000),AG Research ($000),Total Tenure /Tenure-Track Facutly,Facutly FTE,% UG with Loans,% UG Age 25 +,% Total Age 25 +, % Full-Time ,Faculty Academy Memb, UG Total Enroll , GR Total Enroll , Full-time Students , Part-time Students ,UG Enroll Age 25 +,GR Enroll Age 25 +,Bach Degrees,Masters Degrees,Doctoral Degrees,Profess Degrees,ACT/ SAT 25%,ACT/ SAT 75%,(State/ Tuit)/ St. FTE,Med School Res $,Academic Support Expenditures,Student Services Expenditures,Endowment Figure,Endowment per Student FTE,Total Faculty,Total Tenure /Tenure-Track Facutly
35,Univ. of Mississippi,176017,1,No, 13 , 3 ,64,,," 23,212 ", 19 , 61 , 24.5 , 79 , 87 , 23 , 71 , 10 ,"$715,423,161","$83,424","$281,850,140","$228,280,647",14,12,26,"$600,000,000"," $94,040 ", 18 ," 2,162 ", 1 ,325," 21,514 "," 5,137 ","$1,794,778,831","$1,978,118,684","$27,120"," $59,502 ",, 983 ," 1,913 ", 44 , 9 , 20 , 89 , -   ," 18,785 "," 4,427 "," 20,665 "," 2,547 "," 1,608 "," 2,924 "," 3,659 ", 945 , 118 , 415 , 21 , 28 ,"$23,712"," $34,538 "," $666,670,997 ","$30,988","$666,670,997","$30,988"," 1,789 ", 976 
36,Univ. of South Carolina ,218663,1,No, 10 , 4 ,49,x,," 33,724 ", 25 , 72 , 26.5 , 65 , 87 , 18 , 72 , 9 ,"$807,992,014","$31,428","$117,338,183","$381,810,874",11,37,48,"$655,469,462"," $208,736 ", 19 ," 2,285 ", 8 ,256," 30,869 "," 8,588 ","$970,136,051","$1,043,044,592","$14,820"," $196,536 "," $4,149 "," 1,000 "," 1,722 ", 48 , 6 , 22 , 87 , 2 ," 25,237 "," 8,487 "," 29,441 "," 4,283 "," 1,482 "," 5,929 "," 6,210 "," 1,623 ", 358 , 393 , 24 , 29 ,"$16,170"," $12,200 "," $484,082,093 ","$15,682","$484,082,093","$15,682"," 1,440 ", 944 
37,Florida State Univ. ,134097,1,No, 8 , 17 ,38, x ,," 40,830 ", 20 , 79 , 27.0 , 56 , 93 , 24 , 75 , 6 ,"$889,846,982","$29,414","$361,291,258","$251,879,420",32,22,54,"$584,528,857"," $256,449 ", 25 ," 1,932 ", 2 ,226," 37,029 "," 12,751 ","$1,089,192,745","$1,128,649,111","$15,817"," $246,589 ",," 1,080 "," 1,635 ", 46 , 6 , 18 , 86 , 6 ," 32,706 "," 8,124 "," 35,129 "," 5,701 "," 1,967 "," 5,438 "," 9,604 "," 2,153 ", 424 , 393 , 25 , 29 ,"$16,559"," $9,860 "," $624,556,561 ","$16,867","$624,556,561","$16,867"," 1,486 "," 1,067 "
38,Univ. of Oklahoma ,207500,1,No, 5 , 8 ,51,,," 27,428 ", 22 , 66 , 26.5 , 78 , 86 , 21 , 67 , 6 ,"$680,320,000","$38,989","$147,149,000","$278,121,000",16,30,47,"$1,521,000,000"," $242,367 ", 18 ," 1,447 ", 3 ,299," 23,227 "," 6,358 ","$905,616,000","$912,800,000","$60,019"," $150,026 ",, 949 ," 1,276 ", 35 , 12 , 27 , 77 , 1 ," 21,297 "," 6,131 "," 21,127 "," 6,301 "," 2,607 "," 4,738 "," 4,279 "," 1,713 ", 218 , 148 , 24 , 29 ,"$18,309"," $92,341 "," $965,937,000 ","$41,586","$965,937,000","$41,586"," 1,191 ", 948 
39,Univ. of Nebraska ,181464,1,No, 3 , 5 ,51,, x ," 25,260 ", 20 , 67 , 25.0 , 76 , 83 , 25 , 75 , 9 ,"$754,702,649","$44,368","$272,388,353","$202,702,615",25,19,44,"$1,475,090,000"," $284,438 ", 21 ," 1,349 ", 9 ,469," 22,727 "," 5,359 ","$1,008,342,236","$1,084,103,910","$33,593"," $284,438 "," $81,383 "," 1,027 "," 1,276 ", 40 , 6 , 19 , 85 , 2 ," 20,182 "," 5,078 "," 21,460 "," 3,800 "," 1,117 "," 3,696 "," 4,029 ", 860 , 325 , 139 , 22 , 28 ,"$20,905", $-   ," $203,672,175 ","$8,962","$203,672,175","$8,962"," 1,239 "," 1,011 "
40,Delaware,130943,1,No, 6 , 7 ,30,, x ," 22,852 ", 16 , 79 , 26.5 , 67 , 92 , 15 , 75 , 5 ,"$790,194,000","$42,355","$117,005,000","$406,304,000",12,43,55,"$1,261,782,826"," $175,724 ", 16 ," 1,162 ", 6 ,," 21,325 "," 5,990 ","$903,231,000","$953,442,000","$60,844"," $175,724 "," $32,695 ", 842 ," 1,133 ", 52 , 4 , 14 , 90 , 7 ," 19,100 "," 3,752 "," 20,562 "," 2,290 ", 784 ," 2,508 "," 4,500 ", 891 , 237 , 37 , 24 , 29 ,"$24,539", $-   , $-   ,$0,"$312,293,000","$14,644"," 1,119 ", 839 
41,Colorado State,126818,1,No, 2 , 10 ,63,, x ," 30,614 ", 22 , 67 , 25.0 , 81 , 87 , 21 , 71 , 5 ,"$838,968,977","$38,250","$2,355,000","$363,593,739",0,36,37,"$425,200,000"," $317,219 ", 18 ," 1,907 ", 8 ,," 26,149 "," 7,361 ","$1,000,200,336","$1,000,011,256","$16,260"," $317,219 "," $36,811 "," 1,094 "," 1,700 ", 45 , 5 , 20 , 78 , 8 ," 23,917 "," 6,697 "," 23,917 "," 6,697 "," 1,314 "," 4,863 "," 5,229 "," 1,755 ", 251 , 126 , 22 , 28 ,"$13,995", $-   ," $297,089,069 ","$11,361","$297,089,069","$11,361"," 1,301 ", 995 
42,Univ. of Kansas ,155317,1,No, 4 , 6 ,56,,," 27,259 ", 29 , 61 , 25.0 , 93 , 80 , 24 , 63 , 15 ,"$994,983,111","$48,842","$244,734,520","$289,104,231",19,23,42,"$1,475,157,887"," $311,383 ", 16 ," 2,590 ", 8 ,298," 24,450 "," 6,502 ","$1,194,203,648","$1,265,256,171","$65,137"," $192,766 "," $1,714 "," 1,313 "," 2,309 ", 45 , 10 , 28 , 85 , 5 ," 19,245 "," 8,014 "," 23,046 "," 4,213 "," 1,869 "," 5,791 "," 4,082 "," 1,467 ", 390 , 563 , 22 , 28 ,"$21,834"," $118,617 "," $1,494,880,664 ","$61,139","$1,494,880,664","$61,139"," 2,169 "," 1,287 "
43, Arizona State,104151,1,No, 4 , 17 ,63,,," 51,984 ", 20 , 66 , 25.5 , 83 , 86 , 28 , 70 , 6 ,"$1,796,600,000","$42,248","$338,042,000","$1,021,014,000",16,48,64,"$612,589,550"," $458,412 ", 23 ," 2,103 ", 9 ,," 47,932 "," 13,022 ","$2,025,050,000","$2,117,290,000","$6,903"," $458,412 ",," 1,365 "," 1,991 ", 43 , 12 , 23 , 88 , 22 ," 41,828 "," 10,156 "," 45,906 "," 6,078 "," 5,149 "," 6,836 "," 9,075 "," 3,196 ", 528 , 223 , 23 , 28 ,"$28,354", $-   ," $625,833,000 ","$13,057","$625,833,000","$13,057"," 1,935 "," 1,329 "
44,Georgia Tech,139755,1,No, 6 , 6 ,7,,," 25,034 ", 40 , 85 , 31.5 , 32 , 97 , 13 , 58 , 9 ,"$1,335,978,966","$67,217","$227,216,008","$318,573,215",15,20,35,"$1,843,763,800"," $765,370 ", 19 ," 1,072 ", 15 ,," 21,372 "," 5,682 ","$1,436,558,192","$1,563,387,433","$82,918"," $765,370 ",, 939 ," 1,133 ", 31 , 4 , 30 , 78 , 26 ," 15,142 "," 9,892 "," 19,541 "," 5,493 ", 647 ," 6,880 "," 3,274 "," 1,882 ", 526 , -   , 29 , 34 ,"$25,538", $-   ," $1,889,014,000 ","$88,387","$1,889,014,000","$88,387"," 1,031 ", 923 
45,U. of Massachusetts,166629,1,No, 4 , 5 ,27,,," 29,269 ", 22 , 78 , 27.0 , 58 , 91 , 21 , 77 , 4 ,"$824,901,602","$41,912","$298,423,000","$341,462,000",26,30,57,"$287,212,784"," $213,902 ", 18 ," 1,635 ", 12 ,178," 25,316 "," 7,838 ","$1,061,031,000","$1,132,525,000","$11,225"," $213,902 "," $24,915 "," 1,054 "," 1,426 ", 59 , 8 , 24 , 80 , 7 ," 22,748 "," 6,521 "," 23,339 "," 5,930 "," 1,754 "," 5,281 "," 6,069 "," 1,418 ", 268 , 29 , 25 , 29 ,"$25,276", $-   ," $307,098,028 ","$12,131","$307,098,028","$12,131"," 1,321 "," 1,051 "
46,Univ. of Colorado ,126614,1,No, 2 , 10 ,38,,," 33,056 ", 18 , 71 , 27.0 , 80 , 86 , 16 , 76 , 8 ,"$1,054,279,692","$43,647","$197,543,100","$539,664,752",14,40,54,"$1,062,663,825"," $420,775 ", 18 ," 2,151 ", 19 ,186," 29,348 "," 7,682 ","$1,280,963,589","$1,365,034,609","$19,603"," $420,775 ", $10 ," 1,086 "," 1,688 ", 31 , 6 , 18 , 83 , 30 ," 27,142 "," 5,914 "," 27,494 "," 5,562 "," 1,749 "," 4,228 "," 5,851 "," 1,225 ", 434 , 172 , 24 , 30 ,"$25,120", $-   , $-   ,$0,"$528,800,000","$18,018"," 1,457 "," 1,080 "
47,Univ. of Oregon ,209551,1,No, 2 , 9 ,46,,," 24,032 ", 15 , 71 , 24.0 , 74 , 88 , 24 , 81 , 5 ,"$602,894,543","$38,081","$55,861,601","$368,096,326",6,42,49,"$706,973,000"," $79,698 ", 19 ," 1,558 ", 7 ,375," 22,441 "," 6,327 ","$854,592,766","$871,529,643","$31,375"," $79,698 ",, 732 ," 1,222 ", 38 , 8 , 18 , 90 , 10 ," 20,538 "," 3,494 "," 21,646 "," 2,386 "," 1,648 "," 2,608 "," 5,110 ", 897 , 199 , 121 , 21 , 27 ,"$18,892", $-   ," $659,671,118 ","$29,395","$659,671,118","$29,395"," 1,054 ", 711 
48,SUNY - Stony Brook,196097,1,No, 6 , 9 ,42, x ,," 25,272 ", 33 , 68 , 28.0 , 41 , 90 , 32 , 64 , 9 ,"$983,256,325","$103,451","$455,214,819","$216,565,759",20,10,30,"$262,190,973"," $220,580 ", 17 ," 2,405 ", 11 ,134," 22,457 "," 6,828 ","$2,323,244,463","$2,241,079,986","$11,691"," $124,600 ",," 1,084 "," 1,910 ", 44 , 8 , 28 , 83 , 15 ," 16,831 "," 8,441 "," 21,050 "," 4,222 "," 1,350 "," 5,818 "," 4,363 "," 1,865 ", 347 , 253 , 25 , 31 ,"$29,914"," $95,980 "," $196,350,990 ","$8,743","$196,350,990","$8,743"," 1,663 "," 1,010 "
49,UC-Irvine,110653,1,No, 2 , 22 ,9, x ,," 30,836 ", 18 , 88 , 25.5 , 39 , 93 , 43 , 77 , 7 ,"$1,422,918,406","$83,452","$260,685,000","$446,990,000",10,17,28,"$498,171,336"," $329,798 ", 19 ," 2,148 ", 15 ,," 30,313 "," 8,767 ","$2,529,696,000","$2,562,418,000","$15,956"," $198,226 ",," 1,170 "," 1,868 ", 42 , 4 , 16 , 97 , 30 ," 25,256 "," 5,580 "," 30,052 ", 784 ," 1,110 "," 3,829 "," 6,763 "," 1,412 ", 390 , 202 , 22 , 29 ,"$23,345"," $131,572 "," $310,163,000 ","$10,232","$310,163,000","$10,232"," 1,723 "," 1,159 "
50,UC-San Diego,110680,1,No, 1 , 14 ,10, x ,," 32,906 ", 19 , 87 , 30.0 , 34 , 95 , 33 , 76 , 9 ,"$2,476,828,384","$124,089","$311,133,000","$500,926,000",7,11,18,"$1,176,581,371"," $1,101,466 ", 19 ," 2,607 ", 35 ,," 32,239 "," 7,724 ","$4,000,535,000","$4,442,592,000","$35,383"," $561,519 ",," 1,248 "," 2,273 ", 39 , 6 , 17 , 97 , 118 ," 26,590 "," 6,316 "," 31,906 "," 1,000 "," 1,506 "," 4,043 "," 5,884 "," 1,156 ", 505 , 179 , 27 , 33 ,"$25,188"," $539,947 "," $534,912,000 ","$16,592","$534,912,000","$16,592"," 2,075 "," 1,226 "
51,Connecticut,129020,1,No, 5 , 8 ,20, x ,," 27,043 ", 30 , 83 , 27.5 , 53 , 92 , 19 , 69 , 9 ,"$1,344,117,519","$89,352","$631,344,030","$324,520,586",25,13,38,"$377,170,484"," $259,397 ", 17 ," 2,032 ", 8 ,," 24,826 "," 8,216 ","$2,218,286,038","$2,512,327,247","$13,088"," $165,959 "," $7,011 "," 1,298 "," 1,864 ", 50 , 3 , 23 , 88 , 1 ," 18,826 "," 8,217 "," 23,718 "," 3,325 ", 579 ," 5,529 "," 5,692 "," 1,744 ", 339 , 421 , 25 , 30 ,"$38,502"," $93,438 "," $367,014,863 ","$14,783","$367,014,863","$14,783"," 1,896 "," 1,290 "
52, Iowa,153658,1,No, 3 , 6 ,35, x ,," 30,844 ", 24 , 72 , 25.5 , 81 , 85 , 21 , 71 , 12 ,"$1,213,507,000","$108,223","$242,855,000","$384,359,000",8,12,20,"$1,269,775,800"," $443,218 ", 15 ," 2,685 ", 12 ,," 26,695 "," 7,649 ","$2,888,984,000","$3,158,401,000","$45,111"," $208,523 ",," 1,497 "," 2,442 ", 44 , 8 , 23 , 80 , 22 ," 23,357 "," 7,487 "," 24,620 "," 6,224 "," 1,879 "," 5,303 "," 5,419 "," 1,287 ", 453 , 490 , 23 , 28 ,"$23,496"," $234,695 "," $1,251,356,000 ","$46,877","$1,251,356,000","$46,877"," 2,320 "," 1,391 "
53,Buffalo,196088,1,No, 6 , 5 ,43, x ,," 29,796 ", 33 , 74 , 25.5 , 60 , 88 , 31 , 58 , 12 ,"$946,384,957","$39,259","$413,094,614","$251,923,446",41,25,66,"$600,960,825"," $382,935 ", 13 ," 2,348 ", 13 ,," 26,496 "," 8,520 ","$1,040,215,629","$1,004,776,566","$22,688"," $193,651 ",," 1,149 "," 1,847 ", 47 , 7 , 25 , 83 , 7 ," 19,953 "," 9,843 "," 24,846 "," 4,950 "," 1,494 "," 6,069 "," 4,983 "," 2,509 ", 342 , 686 , 23 , 28 ,"$25,099"," $189,284 "," $624,790,675 ","$23,581","$624,790,675","$23,581"," 1,597 "," 1,128 "
54,Utah,230764,1,No, 1 , 10 ,52, x ,," 31,592 ", 25 , 64 , 24.5 , 81 , 89 , 27 , 66 , 10 ,"$1,723,572,000","$144,701","$287,929,000","$304,008,000",7,8,15,"$957,990"," $518,928 ", 16 ," 1,723 ", 13 ,," 25,818 "," 7,961 ","$3,735,900,000","$3,988,353,000",$41," $298,410 ",," 1,144 "," 1,716 ", 34 , 27 , 40 , 73 , 20 ," 23,794 "," 7,798 "," 22,931 "," 8,661 "," 6,355 "," 6,295 "," 5,246 "," 1,948 ", 384 , 383 , 21 , 28 ,"$22,927"," $220,518 "," $723,827,000 ","$28,036","$723,827,000","$28,036"," 1,712 "," 1,141 "
55,UC-Riverside,110671,1,No, 4 , 33 ,58, x ,," 21,385 ", 13 , 73 , 24.0 , 56 , 91 , 52 , 86 , 5 ,"$671,223,441","$37,916","$219,025,000","$275,070,000",25,32,57,"$191,420,248"," $144,511 ", 19 ," 1,007 ", 9 ,," 21,076 "," 5,522 ","$799,111,000","$872,159,000","$8,934"," $138,775 "," $16,754 ", 689 , 899 , 54 , 5 , 13 , 98 , 8 ," 18,607 "," 2,778 "," 20,921 ", 464 , 925 ," 1,904 "," 4,729 ", 521 , 272 , -   , 21 , 27 ,"$23,444"," $5,736 "," $136,003,000 ","$6,453","$136,003,000","$6,453", 844 , 682 
56, Arizona,104179,1,No, 4 , 23 ,62, x ,," 42,595 ", 22 , 61 , 24.0 , 76 , 80 , 28 , 73 , 10 ,"$1,575,255,000","$47,870","$294,475,000","$554,768,000",14,27,42,"$754,401,000"," $606,219 ", 22 ," 2,425 ", 12 ,," 38,603 "," 9,717 ","$1,847,924,000","$2,042,135,000","$17,724"," $434,135 "," $56,581 "," 1,549 "," 2,026 ", 41 , 8 , 23 , 86 , 30 ," 33,331 "," 9,264 "," 36,607 "," 5,988 "," 2,657 "," 7,152 "," 7,076 "," 1,702 ", 528 , 411 , -   , -   ,"$21,999"," $172,084 "," $760,679,000 ","$19,705","$760,679,000","$19,705"," 1,820 "," 1,449 "
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
